,0
AgFFHMM,-0.008420292957629822
OCh6t17E,-0.5143300108829562
TrWHUtP,-0.5998449614055166
ConstctnE,-0.304782958855637
CW_WlkdP,0.797371064343978
FIREE,0.764280132613512
RetailE,0.01546070950980981
InfoE,0.7331523251476467
F16plCvLFE,0.3681727057953437
CvEm16plP,0.6449295316488466
PrfSMgAWMZ,0.4494769998489181
MgBSciArtE,0.7075843446960952
MnfctrngZ,-0.12555368866297784
NLFP,-0.603672547246262
num_rides,1.0
CW_OthE,0.7996614026466234
Wrkr16plP,0.466150901517953
LFZ,-0.12653295487768368
PubAdminM,0.08757430395751067
NLFE,-0.2187595705934876
CvEm16plP.3,0.45318279683373197
LFArmdFP,-0.03335686276923825
CW_OthM,0.7699833779440575
NRCnstMntM,-0.39664527883883105
